t [s],Q [rad],W [rad/s],A [rad/s^2],P_dot [m/s],P_ddot [m/s^2]
0.12999999999987266,"-0.14364075180315322,1.772774477499594","-0.12772966574246108,-0.1325128790086199","-0.3373353622227959,-0.43723158284415703","0.0841944769014942,0.08012508598489769","0.25247889485491176,-0.2050406694730021"
0.13999999999986357,"-0.14632465492244595,1.7699483487907515","-0.13419515596463724,-0.14130643544211924","-0.3232745111088085,-0.43967782167496716","0.08997227347232159,0.08379333150480706","0.24544258904368121,-0.20128592650643057"
0.14999999999985447,"-0.14913216699436796,1.7669451986094151","-0.1403756035960998,-0.15015750906682737","-0.309022381573128,-0.4425536812354065","0.09580535096908963,0.08720945717626823","0.2384457567682344,-0.19755997259641597"
0.15999999999984538,"-0.15205751655312577,1.763763716400003","-0.1462674779378914,-0.1590741104705965","-0.29459371708957977,-0.44583007018845616","0.10169586746942733,0.09036642129411444","0.23149717307437537,-0.19386268005478094"
0.16999999999983628,"-0.1550948671732793,1.7604024423935998","-0.15186753100767655,-0.1680637003201705","-0.2800026534892584,-0.4494794924787007","0.10764513031438638,0.09325726741605882","0.22460542558233457,-0.19019401524211751"
0.1799999999998272,"-0.1582383229083878,1.7568597779741741","-0.1571727867554244,-0.17713322097128145","-0.2652627873873922,-0.45347603255554736","0.11365360436778722,0.09587512864160426","0.21777890794164823,-0.18655405166422265"
0.1899999999998181,"-0.16148193353801596,1.7531339954178216","-0.1621805314814076,-0.186289127817624","-0.25038723629915927,-0.4577953423171263","0.11972092058436928,0.09821323508979733","0.21102581311088134,-0.1829429813087793"
0.199999999999809,"-0.16481969964388676,1.7492232470095537","-0.1668883052935412,-0.19553742041339428","-0.23538869060668055,-0.46241462978851466","0.12584588498132548,0.10026492434335584","0.20435412643155076,-0.17936112422355102"
0.2099999999997999,"-0.1682455775327844,1.7451255735414661","-0.17129389444488136,-0.20488367340437758","-0.22027945756700693,-0.4673126495491652","0.13202648811383627,0.10202365463117256","0.19777161849944133,-0.1758089363517257"
0.2199999999997908,"-0.17175348402070614,1.7408389121954047","-0.17539532439608727,-0.21433306730307683","-0.20507149756029616,-0.4724696949349621","0.13825991515858416,0.10348302052460302","0.19128583786464406,-0.1722870156446662"
0.2299999999997817,"-0.175337301089747,1.7363611038125242","-0.1791908534520425,-0.2238904191440198","-0.189776452797761,-0.4778675920471487","0.1445425567101267,0.10463677092559626","0.1849041036176211,-0.16879610648431295"
0.23999999999977262,"-0.17899088042627412,1.731689899551403","-0.18267896682635673,-0.23356021305606436","-0.17440566871571217,-0.4834896956022281","0.1508700203934869,0.10547882912665589","0.17863349793450642,-0.16533710245220484"
0.24999999999976352,"-0.18270804784612188,1.7268229669356079","-0.18585837099238778,-0.24334663078974889","-0.15897020830155167,-0.4893208866842267","0.15723714339282246,0.10600331472417444","0.1724808586805799,-0.16191104749532584"
0.2599999999997544,"-0.18648260760981036,1.721757895290832","-0.1887279881844245,-0.25325358223880173","-0.14348085960183615,-0.4953475724526424","0.16363800599033812,0.10620456716790445","0.16645277217395826,-0.15851913554387617"
0.26999999999974533,"-0.19030834662817012,1.71649220057089","-0.19128695091798664,-0.26328473599709357","-0.1279481366781079,-0.5015576879145924","0.17006594620243842,0.10607717073053846","0.16055556623915096,-0.15516270864923334"
0.27999999999973624,"-0.19417903855624133,1.7110233295710047","-0.19353459640356163,-0.2734435499942638","-0.11238227427874935,-0.507940699858509","0.17651357559102063,0.1056159806826498","0.15479530367359118,-0.15184325371626925"
0.28999999999972714,"-0.19808844777091456,1.7053486635258843","-0.19547046073366084,-0.2837333022560169","-0.09679321650496074,-0.5144876130876571","0.18297279631740576,0.10481615045986939","0.1491777762628057,-0.14856239791585119"
0.29999999999971805,"-0.20203033322548672,1.6994655210891088","-0.1970942727286075,-0.29415712183878207","-0.0811905997473322,-0.5211909791382568","0.1894348194948157,0.10367315961122038","0.1437084994877183,-0.1453219028699521"
0.30999999999970895,"-0.20599845217212864,1.6933711606892614","-0.19840594733209635,-0.3047180199923698","-0.06558373017444301,-0.5280449076793867","0.1958901848824839,0.10218284232027326","0.13839270806016235,-0.14212365771294821"
0.31999999999969986,"-0.20998656374118846,1.6870627822570752","-0.19940557845299167,-0.31541892160931057","-0.04998155604476621,-0.5350450808470384","0.20232878195081525,0.10034141629423755","0.1332353524248241,-0.13896967113682368"
0.32999999999969076,"-0.21398843236429393,1.68053752831656","-0.20009343115527342,-0.3262626970257576","-0.03439263511408776,-0.5421887708223544","0.2087398723327898,0.09814551182055427","0.12824109636873268,-0.13586206254122732"
0.33999999999968167,"-0.21799783102635412,1.6737924844316479","-0.20046993310300895,-0.3372521942456097","-0.018825097386776065,-0.5494748609926028","0.21511211366176347,0.09559220079591929","0.12341431586104826,-0.13280305240775558"
0.3499999999996726,"-0.2220085443297965,1.6668246789982846","-0.20053566517211932,-0.34839027166816366","-0.0032866034555180776,-0.5569038711276982","0.2214335847808357,0.09267902553927451","0.1187590992561432,-0.12979495203334818"
0.3599999999996635,"-0.22601437135269403,1.6596310823701037","-0.2002913511448766,-0.35967983140904636","0.012215701362136273,-0.5644779870441351","0.22769181229349425,0.08940402720797813","0.1142792489698208,-0.12684015275302296"
0.3699999999996544,"-0.23000912828083092,1.652208605303791","-0.19973784640684436,-0.3711238533156319","0.02767523690161123,-0.5722010953292765","0.2338737984101128,0.08576577364537097","0.10997828474176283,-0.12394111479303296"
0.3799999999996453,"-0.23398665079220907,1.6445540967079686","-0.1988761255689068,-0.3827254297911236","0.043086041896878494,-0.5800788237745864","0.2399660500298415,0.08176338649817722","0.10585944858173818,-0.12110035589400098"
0.3899999999996362,"-0.23794079617099143,1.6366643406768342","-0.19770726893911797,-0.3944878015567209","0.058442831489440655,-0.5881185882798644","0.24595460898294116,0.07739656745368596","0.10192571149376667,-0.11832043984703423"
0.3999999999996271,"-0.24186544512639538,1.6285360527868697","-0.1962324477701979,-0.4064143944982184","0.07374105844600387,-0.596329647074875","0.25182508334451514,0.07266562345950182","0.09817978205279466,-0.11560396508620381"
0.409999999999618,"-0.2457545032905591,1.6201658756315922","-0.19445290820818642,-0.41850885776387275","0.08897697810057414,-0.6047231632827172","0.2575626797175542,0.06757149080259035","0.09462411691725144,-0.11295355347780105"
0.4199999999996089,"-0.249601902367884,1.6115503735655372","-0.19236995386624461,-0.4307751033027558","0.10414771709709002,-0.6133122769441541","0.2631522363707609,0.06211575793966797","0.09126093333586019,-0.11037183944936377"
0.4299999999995998,"-0.2534016009067682,1.602686026624353","-0.18998492694421187,-0.44321734705920385","0.11925134610163728,-0.6221121878224011","0.26857825710535793,0.0563006869873213","0.08809222371132969,-0.10786145959483602"
0.4399999999995907,"-0.25714758466295323,1.5935692235829702","-0.1872991878092502,-0.4558401520691437","0.13428695674808333,-0.631140250496993","0.27382494571493005,0.05012923379767071","0.08511977227804936,-0.1054250428898566"
0.4499999999995816,"-0.26083386652186297,1.5841962541082013","-0.18431409294548695,-0.4686484737384423","0.149254743188163,-0.6404160834649303","0.278876240893346,0.043605066563893714","0.08234517394449331,-0.1030652016484809"
0.45999999999957253,"-0.26445448594527304,1.574563299955733","-0.18103097117050296,-0.4816477076234187","0.1641560887491993,-0.6499616942488176","0.2837158514382169,0.03673258291926161","0.079769855359452,-0.10078452334723727"
0.46999999999956343,"-0.2680035079053439,1.5646664251541522","-0.17745109800354203,-0.4948437400790349","0.17899365834804667,-0.6598016227808117","0.2883272915908581,0.0295169255136","0.07739509825302812,-0.0985855634354036"
0.47999999999955434,"-0.27147502126642337,1.5545015651102905","-0.17357566805397504,-0.5082430021930873","0.19377149747834954,-0.6699631057026205","0.2926939163487432,0.021963996072098636","0.07522206511865936,-0.096470839247265"
0.48999999999954524,"-0.27486313657198996,1.5440645145605667","-0.16940576527832932,-0.5218525274861916","0.20849513878228648,-0.680476264655216","0.296798956582979,0.014080467963069665","0.07325182732212307,-0.09444282513071911"
0.49999999999953615,"-0.2781619831905787,1.5333509142820256","-0.16494233092943872,-0.5356800139270522","0.2231717174445294,-0.6913743220430302","0.3006255537906166,0.005873797323759754","0.07148539571127423,-0.09250394889277928"
0.509999999999527,"-0.2814213707018653,1.5221667086158428","-0.16296937556432856,-0.5592102833091424","0.09864776825550821,-1.1765134691045085","0.30942960710075085,-0.002766736113631939","0.27355587152322725,-0.25619074770246225"
0.519999999999518,"-0.2844853185167382,1.511014770259905","-0.15319739074364452,-0.5575969177968907","0.48859924103420094,0.08066827561258325","0.30377203257009766,-0.011442246658416923","-0.27649859797555554,0.19028504618163883"
0.5299999999995089,"-0.2873614327060358,1.4998985668429041","-0.14380570946487978,-0.5558101708500444","0.4695840639382374,0.08933734734231782","0.2979814375914321,-0.01966760537714119","-0.2679595353320819,0.18586167396615497"
0.5399999999994998,"-0.2900570492042548,1.488821326538491","-0.13478082491095067,-0.5538620152206524","0.4512442276964554,0.09740778146960272","0.2920797883394243,-0.02745493876924581","-0.2597743325313693,0.18154284377676919"
0.5499999999994907,"-0.29257924093743537,1.4777860526491038","-0.1261095866590273,-0.5517636944693656","0.43356191259616844,0.10491603756434062","0.28608754129471403,-0.03481673297752055","-0.2519257264036271,0.17732848971162182"
0.5599999999994816,"-0.2949348251338854,1.4667955373075399","-0.11777920982250348,-0.5495257670781994","0.4165188418261917,0.1118963695583056","0.28002370776191654,-0.04176574330674438","-0.2443972585255748,0.17321812871401565"
0.5699999999994725,"-0.2971303707551714,1.4558523743461562","-0.10977728106429899,-0.5471581480691823","0.40009643791022476,0.11838095045085845","0.2739059191402506,-0.0483149129722737","-0.237173257276444,0.16921092170593147"
0.5799999999994634,"-0.29917220599317257,1.4449589713815711","-0.10209176190005713,-0.5446701482292529","0.38427595821209287,0.1243999919964717","0.2677504923322779,-0.05447730042701827","-0.2302388164270493,0.16530572804835614"
0.5899999999994543,"-0.3010664257864973,1.4341175611606576","-0.09471098966623748,-0.5420705110456779","0.36903861169098223,0.12998185917874414","0.26157249477363326,-0.060266014632598154","-0.22357977110652025,0.16150115390619063"
0.5999999999994452,"-0.30281889931625666,1.423330212211502","-0.08762367648796725,-0.5393674474577852","0.35436565891351146,0.13515317939463614","0.2553858086527205,-0.06569415766276022","-0.2171826718687312,0.15779559507264293"
0.6099999999994361,"-0.3044352774471502,1.4125988388408708","-0.08081890654467948,-0.5365686685315507","0.34023849716438853,0.13993894631172238","0.2492031939654709,-0.07077477405318339","-0.2110347574523846,0.15418727477284042"
0.619999999999427,"-0.3059210000851141,1.401925210517621","-0.07428613189819139,-0.5336814161624902","0.32663873232440505,0.14436261845302742","0.24303635011698427,-0.0755208063401759","-0.20512392673795174,0.15067427692961413"
0.6299999999994179,"-0.3072813034274571,1.3913109606794052","-0.0680151671171518,-0.5307124919107884","0.3135482390519792,0.14844621258509236","0.23689597584006034,-0.07994505626094173","-0.19943871031206556,0.1472545753512682"
0.6399999999994088,"-0.30852122708554774,1.380757594998003","-0.06199618290453185,-0.5276682840701102","0.3009492106309974,0.15221039203390543","0.23079182725148717,-0.08406015111886224","-0.19396824197479537,0.1439260592469847"
0.6499999999993997,"-0.309645621063743,1.3702664991366336","-0.05621969890976352,-0.5245547930684732","0.2888241997384165,0.15567455008185305","0.22473277391061555,-0.08787851484838977","-0.18870223046591797,0.14068655546123596"
0.6599999999993906,"-0.3106591525814397,1.3598389460307068","-0.05067657588483653,-0.5213776552963351","0.27715615124634924,0.15885688860690816","0.218726852782552,-0.09141234334500355","-0.18363093162496774,0.1375338477733809"
0.6699999999993815,"-0.3115663127279119,1.3494761027216418","-0.04535800732360785,-0.5181421654532591","0.2659284280614342,0.16177449215379597","0.21278132004052297,-0.09467358365587134","-0.17874512115911284,0.1344656935827407"
0.6799999999993724,"-0.31237142294202586,1.3391790367716294","-0.04025551070569845,-0.5148532975006099","0.25512483089546983,0.1644433976324576","0.20690270066941374,-0.09767391665614902","-0.1740360681518395,0.13147983826716728"
0.6899999999993633,"-0.313078641311031,1.3289487222855505","-0.03536091845025842,-0.5115157243039513","0.24472961277200184,0.16687865983293193","0.201096835855652,-0.1004247428641042","-0.16949550940968827,0.1285740274788658"
0.6999999999993542,"-0.3136919686844447,1.3187860455646623","-0.030666368670684722,-0.5081338360444033","0.23472748897868473,0.1690944129773986","0.19536892816791274,-0.10293717107508657","-0.1651156247256164,0.1257460176165252"
0.7099999999993452,"-0.31421525460062033,1.3086918104151664","-0.02616429580877975,-0.5047117574748053","0.22510364309524872,0.17110392847990036","0.18972358454949287,-0.10522200952005206","-0.16088901309777617,0.12299358467839276"
0.7199999999993361,"-0.31465220302493135,1.2986667431333312","-0.021847421215553116,-0.5012533640917559","0.2158437296613316,0.17291966915247012","0.1841648571561204,-0.10728975927835177","-0.1568086699484159,0.12031453169935838"
0.729999999999327,"-0.3150063778996509,1.2887114971875004","-0.01770874373597646,-0.49776229729153953","0.20693387397883284,0.17455334001081857","0.17869628208400967,-0.10915060969737944","-0.1528679653438425,0.11770669493412843"
0.7399999999993179,"-0.3152812085065774,1.278826657616031","-0.013741530346325944,-0.494241978573471","0.1983606694825257,0.1760159359034263","0.1733209160413778,-0.11081443559278378","-0.1490606232289933,0.11516794894478638"
0.7499999999993088,"-0.3154799946442766,1.2690127451590116","-0.009939306884959368,-0.4906956228509659","0.19011117306832884,0.17731778612525717","0.16804137102343852,-0.11229079602292212","-0.14538070166220526,0.1126962107286336"
0.7599999999992997,"-0.31560591162249035,1.2592702201404729","-0.006295848910687226,-0.487126250926936","0.18217289871360706,0.17846859620149308","0.16285984705599377,-0.11358893444965155","-0.14182257403691761,0.11028944300752708"
0.7699999999992906,"-0.31566201507682906,1.2495994861167383","-0.002805172716935254,-0.4835367011867247","0.1745338096875986,0.1794774870105671","0.1577781630764565,-0.11471778011469864","-0.13838091126851856,0.10794565678897622"
