t [s],Q [rad],W [rad/s],A [rad/s^2],P_dot [m/s],P_ddot [m/s^2]
1.299999999999972,"-1.6420736752746181,2.6155597340590573","-1.2560928170752537,-0.06427299701018127","0.6234833594448914,-1.313852636897466","0.11061369015125068,0.38241945626258883","0.34755790332891495,1.1782777813617458"
1.3099999999999719,"-1.6669088764559536,2.6137793954418846","-1.2417600590667726,-0.08901693085863159","0.7166379004240627,-1.237196692422516","0.12885583162592779,0.36959882837202124","0.36706660311477934,1.1700049807169313"
1.3199999999999716,"-1.6914222644379806,2.611534754071806","-1.2256693991013474,-0.11223206850391496","0.8045329982712571,-1.1607568822641683","0.14618278326675677,0.35600120165476307","0.3857478287555909,1.1574640312049211"
1.3299999999999714,"-1.7155811239916579,2.6088560807390526","-1.2079429776838702,-0.1339336666376846","0.8863210708738619,-1.0850799066884824","0.16251647169517,0.34169889519172775","0.40330301866142343,1.1409514339251319"
1.3399999999999712,"-1.7393554488529541,2.605773143598693","-1.188716243064811,-0.15414685701796466","0.9613367309529541,-1.0106595190140022","0.17779152379470833,0.32677314819542513","0.41947851262967717,1.1208162956346523"
1.349999999999971,"-1.7627181348077583,2.602315034539088","-1.168134297740206,-0.17290545298027477","1.0290972662302507,-0.9379297981155061","0.1919559062434056,0.31131196909032577","0.43406927280708174,1.0974464946113505"
1.3599999999999708,"-1.7856451023018454,2.598510020875779","-1.1463483747043575,-0.19025068316544044","1.0892961517924213,-0.867261509258284","0.20497117099209755,0.2954079654544375","0.44692027367993964,1.071254861860376"
1.3699999999999706,"-1.8081153534209062,2.5943854227297467","-1.1235125559530408,-0.206229907301616","1.141790937565844,-0.7989612068087781","0.21681233250006018,0.2791562354878874","0.45792578480048296,1.0426660560490513"
1.3799999999999704,"-1.8301109697518143,2.5899675155294846","-1.0997808165454084,-0.22089536001309512","1.186586970381618,-0.7332726355739557","0.22746741707741328,0.2626523891730642","0.46702687240481205,1.012104662969372"
1.3899999999999701,"-1.8516170587252574,2.58528145635158","-1.0753044486721524,-0.23430295889524072","1.2238183936627975,-0.6703799441072799","0.23693673476084356,0.24599075257123823","0.47420750484210583,0.9799848890754422"
1.39999999999997,"-1.8726216565988942,2.5803512322839075","-1.0502298936818406,-0.24651120338362342","1.2537277495155825,-0.6104122244191355","0.24523192979539202,0.2292627931927257","0.4794896652559227,0.9467020609297918"
1.4099999999999697,"-1.8931155963437214,2.575199628645573","-1.024696987241353,-0.2575801819167334","1.276645322024392,-0.5534489266554974","0.252374867409228,0.21255578930012253","0.48292786010602395,0.9126260012334945"
1.4199999999999695,"-1.9130923484329896,2.5698482147059583","-0.9988376044634099,-0.2675706969807352","1.29296913889715,-0.49952575320009074","0.2583964128000141,0.1959517522881293","0.48460337269537485,0.8780962356288897"
1.4299999999999693,"-1.932547841994968,2.5643173444848086","-0.9727746780989246,-0.2765435110574734","1.3031463182242653,-0.44864070383690996","0.2633351538792895,0.17952659955240227","0.4846185558718677,0.8434188964199615"
1.439999999999969,"-1.9514802730656622,2.5586261702580537","-0.9466215535347131,-0.2845587113377423","1.307656228210575,-0.40076001401344463","0.26723611315253515,0.16334956584379973","0.4830913957727013,0.8088651297236393"
1.4499999999999689,"-1.9698899058427928,2.5527926665131377","-0.9204816388565227,-0.29167518724580255","1.3069957339095217,-0.3558237954030122","0.27014948690040463,0.14748283408617602","0.48015051554483035,0.7746707789029111"
1.4599999999999687,"-1.987778871962557,2.546833662268856","-0.8944483059882173,-0.2979502122140735","1.301666643415267,-0.3137512484135469","0.27212944222370616,0.13198136190420406","0.47593072941111,0.7410371051061924"
1.4699999999999684,"-2.0051509719466383,2.5407648798775955","-0.8686049992040608,-0.303439119563035","1.2921653392078294,-0.2744453674480767","0.27323299504019005,0.11689287742096624","0.4705692063604772,0.7081323106467212"
1.4799999999999682,"-2.022011482135844,2.5346009786458974","-0.8430255094602945,-0.30819506158491766","1.2789744871883115,-0.2377971010941327","0.2735189851577898,0.10225801692368526","0.4642022607869288,0.6760936478670497"
1.489999999999968,"-2.0383669696638838,2.5283556018296345","-0.8177743764019751,-0.31226884081313755","1.2625566529159686,-0.20368896141099574","0.27304715835013027,0.08811057740846184","0.45696275500099814,0.6450299205991492"
1.4999999999999678,"-2.0542251173451107,2.5220414257735437","-0.79290738406135,-0.3157088028045368","1.2433496170312555,-0.1719980995699614","0.27187736006423274,0.07447785845655892","0.4489780751442722,0.6150242138169764"
1.5099999999999676,"-2.069594559760445,2.5156702101649904","-0.7684721207667206,-0.3185607804276629","1.2217631647314704,-0.14259888115630442","0.2700688410473059,0.061381070044765666","0.44036862675635813,0.5861367164958001"
1.5199999999999674,"-2.0844847313268087,2.5092528485548016","-0.7445085783181816,-0.3208680805094349","1.1981771224269457,-0.11536500408859962","0.2676796717678087,0.04883578547776919","0.4312467875893567,0.5584075312080362"
1.5299999999999672,"-2.0989057267235594,2.5027994184616564","-0.7210497698375389,-0.32267150465726563","1.17294042403214,-0.09017120739153611","0.26476625995906355,0.03685242142170497","0.42171625202569246,0.5318593899857128"
1.539999999999967,"-2.112868173717947,2.496319230520322","-0.6981223497193677,-0.3240093970667078","1.1463710059085583,-0.0668946204721101","0.2613829638333082,0.02543672984045528","0.41187170214644725,0.5065002189148908"
1.5499999999999667,"-2.126383118172222,2.4898208762583027","-0.6757472227137504,-0.3249177131009725","1.1187563502808655,-0.04541580171323372","0.2575817923895746,0.014590289357130578","0.4017987440477858,0.4823255132523647"
1.5599999999999665,"-2.1394619208186425,2.4833122741913156","-0.6539401323210354,-0.32543010334936573","1.0903545196357507,-0.025619512419663492","0.2534121836544244,0.00431098609448861","0.39157405330851736,0.45932050074922176"
1.5699999999999663,"-2.152116165246049,2.4768007140169015","-0.632712221370334,-0.3255780087207092","1.0613955475350703,-0.007395268567173306","0.24892085154051233,-0.005406523667839781","0.3812656798624014,0.43746208336676135"
1.579999999999966,"-2.164357576444137,2.47029289875912","-0.6120705599043933,-0.32539076288905067","1.0320830732970323,0.009362291582926563","0.2441516921819857,-0.014570374671441805","0.37093346924939224,0.41672055720084655"
1.5899999999999659,"-2.1761979491909282,2.4637949847774494","-0.5920186373395562,-0.32489569908355387","1.0025961282418574,0.024753190274841047","0.2391457410204338,-0.023191081618153597","0.36062956388794865,0.3970611174053832"
1.5999999999999657,"-2.187649085537949,2.4573126196014563","-0.5725568173510405,-0.3241182587996486","0.9730909994257836,0.0388720141952611","0.23394117249408944,-0.03128115834446033","0.35039895432611384,0.3784451598176724"
1.6099999999999655,"-2.198722740639893,2.4508509775912244","-0.553682755097201,-0.32308210051159514","0.9437031126919738,0.05180791440267624","0.22857333486504355,-0.03885476851344095","0.34028005620107593,0.36083139411006254"
1.6199999999999652,"-2.2094305761856274,2.444414793453365","-0.5353917772867246,-0.3218092068929716","0.9145488905238205,0.06364468093117652","0.22307481345471458,-0.04592740814937093","0.3303052937670482,0.3441767850674203"
1.629999999999965,"-2.219784120710707,2.438008393665206","-0.5176772262539744,-0.32031998940793593","0.8857275516375145,0.0744608742517816","0.21747551630885903,-0.052515619591030724","0.32050167528430257,0.32843733933471786"
1.6399999999999648,"-2.2297947361042763,2.4316357258765313","-0.5005307696784629,-0.3186333894337415","0.8573228287755732,0.08432999870972464","0.21180277705162634,-0.05863673587255366","0.31089134936440704,0.3135687548863054"
1.6499999999999646,"-2.2394735896623166,2.425300386370206","-0.48394267790202156,-0.3167669753162675","0.829404588822067,0.09332070587369642","0.20608147039350364,-0.06430865412573102","0.30149213447809886,0.29952694993043383"
1.6599999999999644,"-2.2488316310821346,2.4190056456710236","-0.46790207099088943,-0.31473703495911953","0.8020303455566041,0.10149701785739958","0.20033413641706638,-0.0695496363123926","0.2923180164321938,0.2862684869334638"
1.6699999999999642,"-2.257879573837882,2.412754472396942","-0.45239713778737267,-0.3125586637040751","0.775246660175838,0.10891856275222232","0.19458111036891595,-0.07437813541405029","0.2833796106648726,0.2737509063047967"
1.679999999999964,"-2.2666278804222673,2.4065495554492173","-0.43741532921926046,-0.3102458473862301","0.7490904284056116,0.11564081589224849","0.18884065523241433,-0.07881264510928218","0.27468458782785493,0.2619329829481802"
1.6899999999999638,"-2.275086750984316,2.4003933246383036","-0.4229435281024462,-0.30781154054568927","0.7235900558407143,0.12171534202704339","0.1831290948423705,-0.08287157093911794","0.26623806238136655,0.25077491752696573"
1.6999999999999635,"-2.283266114936309,2.394287969841262","-0.4089681975996535,-0.3052677398521024","0.6987665251396324,0.12719003467934226","0.17746094573135454,-0.08657312098075907","0.258042944842292,0.24023847298312928"
1.7099999999999633,"-2.2911756251442497,2.388235458784153","-0.39547551039702256,-0.3026255528554204","0.674634360131548,0.13210934983409983","0.17184904627041717,-0.0899352141085387","0.25010025901103794,0.23028706554917835"
1.7199999999999631,"-2.298824654355071,2.3822375535397997","-0.38245146054108464,-0.2998952622176876","0.6512024927968968,0.1365145318866421","0.16630468198862364,-0.09297540400664457","0.2424094259576069,0.22088581830713894"
1.729999999999963,"-2.3062222935500216,2.376295825827613","-0.3698819597475111,-0.2970863856093362","0.6284750396786771,0.14044383041756878","0.1608377062298119,-0.09571081720215682","0.23496851686723458,0.2120015842624967"
1.7399999999999627,"-2.3133773519471923,2.370411671198149","-0.3577529198585411,-0.29420773147319096","0.6064519944485004,0.1439327068072625","0.1554566555370995,-0.09815810350275977","0.22777447698280745,0.20360294489074213"
1.7499999999999625,"-2.3202983584069687,2.3645863221807266","-0.3460503229888101,-0.2912674508711225","0.585129843486548,0.14701403010342254","0.15016885934897564,-0.10033339734542905","0.2208233229929677,0.19566018923031636"
1.7599999999999623,"-2.3269935640222985,2.358820860468064","-0.3347602807665082,-0.28827308563312654","0.5645021111150957,0.14971826189979726","0.14498054375136812,-0.1022522886856934","0.21411031617329948,0.1881452778263117"
1.769999999999962,"-2.333470945701246,2.35311622820747","-0.3238690839473512,-0.28523161302972033","0.5445598409578505,0.15207363017031017","0.13989692916083993,-0.10392980217946961","0.20763011356335906,0.18103179511931558"
1.7799999999999618,"-2.3397382105723907,2.3474732384637447","-0.313363243557242,-0.2821494871862421","0.5252920195054601,0.15410629217391097","0.13492232192012538,-0.10538038352812594","0.20137689933633193,0.17429489327144285"
1.7899999999999616,"-2.345802801064467,2.3418925849147194","-0.30322952460381863,-0.2790326774512648","0.5066859476711689,0.1558404867488656","0.1300601998709621,-0.10661789197019075","0.19534449842783005,0.16791122992957325"
1.7999999999999614,"-2.3516719005302877,2.336374850836228","-0.29345497329103026,-0.2758867039245888","0.48872756563941844,0.15729867633380096","0.1253132920352086,-0.10765559800994756","0.18952647431980976,0.16185890195109842"
1.8099999999999612,"-2.3573524393017116,2.3309205174293877","-0.28402693857120065,-0.27271667034199465","0.4714017359914801,0.15850167912970806","0.12068365258492576,-0.10850618557279955","0.18391621276827586,0.15611737673950388"
1.819999999999961,"-2.3628511010773057,2.3255299715393285","-0.27493308877969924,-0.2695272945029738","0.4546924895750713,0.15946879195104136","0.116172729319707,-0.10918175786865181","0.1785069930710113,0.15066742255349316"
1.8299999999999608,"-2.3681743295575677,2.3202035128109397","-0.2661614240131104,-0.26632293641942106","0.4385832383294411,0.16021790417763793","0.11178142689512625,-0.10969384632970083","0.1732920483863777,0.14549103881294753"
1.8399999999999606,"-2.3733283352543384,2.3149413603239073","-0.257700284838525,-0.2631076243516395","0.4230569587292712,0.16076560338907794","0.10751016506430118,-0.11005342206539147","0.16826461640312018,0.14057138726509205"
1.8499999999999603,"-2.378319102411386,2.309743658746135","-0.2495383578523778,-0.25988507888860957","0.40809634930735816,0.1611272731514959","0.1033589322041064,-0.11027090934739833","0.16341798159471443,0.13589272463474225"
1.8599999999999601,"-2.383152395982326,2.304610484041772","-0.24166467854701068,-0.25665873521816274","0.3936839652683558,0.1613171835223426","0.09932733440225967,-0.11035620069987827","0.15874551012110574,0.13144033726908239"
1.86999999999996,"-2.387833768620087,2.2995418487672676","-0.23406863188802773,-0.25343176372521037","0.37980233294914817,0.1613485746476173","0.0954146403809889,-0.11031867322761757","0.15424067834389635,0.1272004780854022"
1.8799999999999597,"-2.392368567639216,2.294537706986391","-0.2267399509564759,-0.25020708904382727","0.36643404657759193,0.16123373406915537","0.0916198225291032,-0.11016720586396654","0.1498970958147764,0.12316030612806547"
1.8899999999999595,"-2.396761941918541,2.289597958832752","-0.2196687139662555,-0.24698740768194388","0.3535618495110195,0.16098406809416854","0.08794159430756322,-0.10991019726614126","0.14570852348973987,0.11930782885759128"
1.8999999999999593,"-2.4010188487171,2.2847224547461824","-0.2128453399279277,-0.2437752043284742","0.34116870191638954,0.16061016767348507","0.08437844428469123,-0.10955558412512917","0.14166888784458243,0.1156318472708784"
1.909999999999959,"-2.4051440603810095,2.2799109994073032","-0.20626058319548635,-0.2405727669439739","0.3292378366220678,0.16012186922501573","0.08092866704684151,-0.10911085969234237","0.13777229148223036,0.11212190390191773"
1.9199999999999589,"-2.4091421709230607,2.2751633553927255","-0.19990552710255122,-0.23738220072888103","0.31775280464675726,0.1595283107546432","0.07759039121920515,-0.1085830923563959","0.1340130207353069,0.10876823368634835"
1.9299999999999586,"-2.4130176024603833,2.270479246571601","-0.19377157686613986,-0.23420544105622237","0.3066975118205671,0.1588379836329322","0.07436160481885995,-0.10797894413048312","0.13038555074264083,0.10556171764669454"
1.9399999999999584,"-2.416774611498646,2.265858361262628","-0.18785045191313382,-0.23104426544865","0.29605624765030253,0.15805878037861795","0.0712401781502242,-0.10730468893449914","0.1268845483752063,0.10249383934061207"
1.9499999999999582,"-2.4204172950539107,2.2613003551691495","-0.18213417776322405,-0.22790030467391836","0.28581370749548773,0.15719803873658317","0.0682238844404754,-0.10656623057696114","0.12350487335893644,0.09955664397666722"
1.959999999999958,"-2.4239495966055675,2.2568048541086143","-0.17661507758285,-0.22477505302676085","0.2759550090187037,0.1562625823578757","0.06531041839981326,-0.1057691203595694","0.12024157790987783,0.09674270010292374"
1.9699999999999578,"-2.4273753118757555,2.2523714565514092","-0.17128576350939154,-0.22166987786026418","0.2664657036729218,0.1552587583248334","0.06249741287975546,-0.10491857424312359","0.11708990511429666,0.09404506375210124"
1.9799999999999576,"-2.430698094432339,2.247999735982926","-0.1661391278291748,-0.21858602842415806","0.25733178401083656,0.1541924718053052","0.059782453790279175,-0.10401948952654713","0.11404528631115413,0.09145724493766923"
1.9899999999999574,"-2.4339214611139712,2.24368924310165","-0.16116833408161532,-0.2155246440637927","0.24853968737797513,0.15306921801826842","0.05716309342579282,-0.10307646100281696","0.11110333763623836,0.08897317636744045"
1.9999999999999571,"-2.4370487972769665,2.239439507865079","-0.15636680814976953,-0.21248676182856574","0.24007629659228955,0.15189411176134826","0.054636862338610585,-0.10209379656507175","0.1082598559208742,0.08658718426674704"
2.009999999999957,"-2.4400833618647373,2.23525004139438","-0.15172822938853678,-0.20947332353493975","0.23192893806163775,0.15067191468129917","0.05220127988849644,-0.10107553224475677","0.10551081407335688,0.08429396118806073"
2.019999999999957,"-2.4430282923013995,2.2311203377478583","-0.14724652183312237,-0.20648518232607807","0.22408537777071952,0.14940706044308383","0.049853863586887925,-0.10002544667095906","0.10285235606843778,0.08208854067964054"
2.0299999999999567,"-2.445886609211863,2.2270498755725447","-0.14291584552315548,-0.20352310876568738","0.21653381549834558,0.14810367801953375","0.047592137345294334,-0.09894707494565845","0.1002807916512371,0.07996627372135211"
2.0399999999999565,"-2.448661220971295,2.2230381196425038","-0.13873058797160442,-0.2005877965020434","0.20926287757755266,0.1467656131821999","0.045413638728613065,-0.09784372193522467","0.09779259083537956,0.07792280678972105"
2.0499999999999563,"-2.4513549280873406,2.219084522291822","-0.13468535580227575,-0.1976798675340955","0.202261608466433,0.1453964483973947","0.043315925306149576,-0.09671847498218539","0.09538437827144919,0.07595406147193173"
2.059999999999956,"-2.4539704274188203,2.215188524749625","-0.1307749665740024,-0.194799877109848","0.19551946141366813,0.14399952121237447","0.04129658018505314,-0.09557421604493835","0.09305292756609249,0.07405621550692361"
2.069999999999956,"-2.456510316234971,2.2113495583839358","-0.12699444080751882,-0.19194831828446166","0.18902628832417812,0.14257794126931714","0.03935321680476012,-0.09441363327600757","0.09079515555815972,0.07222568517263853"
2.0799999999999557,"-2.4589770961194684,2.20756704586067","-0.12333899422487005,-0.18912562616328754","0.18277232913243888,0.14113460605870645","0.037483483063294624,-0.09323923205128799","0.08860811665718142,0.07045910891939337"
2.0899999999999554,"-2.4613731767236864,2.2038404022236024","-0.11980403021090306,-0.1863321818533709","0.17674820069834898,0.1396722154958321","0.03568506484141235,-0.09205334546502172","0.08648899721318061,0.06875333216767827"
2.0999999999999552,"-2.4637008793737145,2.2001690359007053","-0.11638513250140482,-0.18356831614485455","0.1709448854749125,0.13819328542581655","0.03395568898388427,-0.09085814430614006","0.08443511000465735,0.06710539318534874"
2.109999999999955,"-2.465962440535756,2.196552349641865","-0.11307805810207804,-0.18083431294202462","0.16535371996633935,0.13670016014149744","0.03229312579285935,-0.0896556465329042","0.08244388882421104,0.06551250997539702"
2.119999999999955,"-2.468160015144548,2.1929897413926156","-0.10987873043959524,-0.17813041246246397","0.15996638312413958,0.1351950239780328","0.03069519108293511,-0.0884477262634312","0.08051288320427351,0.06397206809353743"
2.1299999999999546,"-2.4702956797994458,2.189480605108198","-0.10678323274490452,-0.1754568142208944","0.15477488473453632,0.13367991207847815","0.029159747843432747,-0.08723612230006317","0.07863975328722109,0.06248160933987613"
2.1399999999999544,"-2.472371435832792,2.186024331511925","-0.10378780166729878,-0.1728136798136304","0.14977155388028682,0.1321567203632001","0.027684707549092552,-0.08602244620598647","0.0768222648549781,0.061038821248450524"
2.149999999999954,"-2.4743892122551356,2.1826203088015736","-0.1008888211171901,-0.1702011355175713","0.1449490275054343,0.1306272148029558","0.02626803115700279,-0.08480818995237702","0.07505828451718097,0.05964152733417655"
2.159999999999954,"-2.4763508685818167,2.179267923307228","-0.09808281633404212,-0.16761927471729887","0.14030023915739856,0.12909304001362118","0.0249077298238083,-0.08359473315446622","0.07334577507275995,0.05828767802629686"
2.1699999999999537,"-2.478258197545323,2.1759665601037814","-0.09536644817531875,-0.16506816017232215","0.1358184079361683,0.12755572724883518","0.023601865374230525,-0.08238334991455691","0.07168279104715843,0.056975342248307456"
2.1799999999999535,"-2.4801129276977685,2.1727156035810657","-0.09273650762228204,-0.16254782613577926","0.13149702765183582,0.12601670182714472","0.02234855054929364,-0.0811752152899269","0.07006747439124963,0.05570269959640355"
2.1899999999999533,"-2.48191672590771,2.169514437974361","-0.09018991049705882,-0.1600582803352242","0.12732985626116086,0.1244772900277529","0.021145949059571255,-0.07997141140307572","0.06849805036333773,0.05446803306532875"
2.199999999999953,"-2.483671199755424,2.1663624478578654","-0.08772369238571798,-0.15759950582479984","0.12331090556704229,0.12293872552121873","0.0199922754667401,-0.0787729332112659","0.06697282357922517,0.053269722294602175"
2.209999999999953,"-2.4853778998306577,2.163259018603507","-0.08533500376167838,-0.15517146271792406","0.11943443120197994,0.1214021553437881","0.018885794914394807,-0.0775806939520208","0.06549017422805392,0.05210623728655562"
2.2199999999999527,"-2.4870383219367245,2.1602035368073293","-0.08302110530334621,-0.15277408980887286","0.11569492291660854,0.11986864545256086","0.017824822726975272,-0.07639553028064518","0.06404855445646525,0.050976132561849574"
2.2299999999999525,"-2.488653909204724,2.157195390685519","-0.08077936339997933,-0.15040730609052685","0.11208709516834342,0.11833918591729917","0.01680772389399206,-0.07521820711515026","0.06264648491477806,0.04987804173083598"
2.2399999999999523,"-2.4902260541215178,2.154233970442005","-0.07860724583967738,-0.14807101217568572","0.10860587801509833,0.11681469574205706","0.015832912454964262,-0.07404942220366592","0.06128255145694063,0.04881067243754937"
2.249999999999952,"-2.491756100474983,2.1513186686094405","-0.07650231767327184,-0.1457650916282246","0.10524640832027635,0.11529602737305665","0.014898850798992704,-0.07288981042860013","0.059955401995800704,0.04777280165970677"
2.259999999999952,"-2.493245345219943,2.14844888036523","-0.07446223724799039,-0.14348941221051717","0.10200402126407296,0.1137839708853704","0.014004048891459366,-0.0717399478614835","0.05866374350243601,0.04676327132768735"
2.2699999999999516,"-2.4946950402680357,2.1456240038241843","-0.07248475240464454,-0.14124382705229646","0.09887424216729229,0.11227925791103623","0.01314706343911089,-0.0706003555815145","0.057406339154001514,0.04578098425316148"
2.2799999999999514,"-2.4961063942046855,2.1428434403092558","-0.07056769683248786,-0.13902817574642198","0.09585277860783414,0.1107825652937236","0.012326497003685424,-0.06947150327058844","0.05618200561215319,0.044824900333792383"
2.289999999999951,"-2.497480573936202,2.140106594601725","-0.06870898657581641,-0.1368422853765393","0.09293551283357249,0.10929451849413326","0.011540997073130535,-0.06835381259695045","0.0549896104315384,0.04389403301495475"
2.299999999999951,"-2.4988187062699247,2.137412875172111","-0.06690661668613589,-0.134685971480699","0.09011849448402637,0.10781569479201561","0.010789255098427396,-0.06724766039875092","0.05382806960612659,0.042987445998347876"
2.3099999999999508,"-2.5001218794302202,2.1347616943930023","-0.06515865801478592,-0.13255903895543691","0.08739793356749809,0.10634662626310515","0.010070005503487451,-0.0661533816787534","0.05269634521951799,0.042104250170972975"
2.3199999999999505,"-2.5013911445130153,2.13215246873492","-0.06346325413974663,-0.130461282904123","0.08477019375196426,0.10488780256569495","0.009382024674274753,-0.06507127242044387","0.05159344322938824,0.041243600738866536"
2.3299999999999503,"-2.502627516881456,2.1295846189462586","-0.061818618422014006,-0.12839248943306356","0.0822317858866314,0.10343967355297261","0.008724129933278247,-0.06400159223563742","0.0505184113435562,0.040404694559734305"
2.33999999999995,"-2.5038319775051665,2.1270575702182812","-0.06022303118554194,-0.126352436398866","0.07977936182360314,0.10200265170987771","0.008095178504085102,-0.06294456685289614","0.04947033701940489,0.0395867676471432"
2.34999999999995,"-2.505005474245493,2.124570752336083","-0.05867483701631132,-0.12434089410991912","0.07740970846153103,0.10057711444734423","0.007494066470908206,-0.06190039045579266","0.04844834554974458,0.03878909284903452"
2.3599999999999497,"-2.5061489230889924,2.1221235998163785","-0.057172442174995036,-0.122357625985225","0.07511974206581434,0.09916340623470582","0.006919727736746583,-0.060869227879493254","0.04745159825755274,0.03801097767065678"
2.3699999999999495,"-2.507263209331375,2.1197155520329187","-0.0557143121191266,-0.12040238917298883","0.07290650279342166,0.09776184061180838","0.006371132984036263,-0.059851216673789856","0.04647929076761849,0.03725176224981454"
2.3799999999999493,"-2.508349188713969,2.117346053330286","-0.05429896912968782,-0.11847493513163267","0.07076714947193928,0.09637270206780858","0.005847288640638607,-0.05884646904014859","0.04553065137660372,0.036510817459557775"
2.389999999999949,"-2.5094076885147234,2.1150145531267763","-0.05292499003772536,-0.11657501017549025","0.06869895459812284,0.0949962478071204","0.0053472358538942414,-0.0578550736499834","0.04460493950573824,0.03578754313623443"
2.399999999999949,"-2.510439508595666,2.112720506007028","-0.05159100404712717,-0.11470235598740285","0.06669929952990925,0.09363270940437005","0.004870049475256017,-0.056877097351122397","0.043701444222082206,0.03508136642411372"
2.4099999999999486,"-2.5114454224086464,2.110463371805024","-0.05029569064901972,-0.11285671010021245","0.06476566990537279,0.09228229435952012","0.0044148370573438836,-0.05591258676880845","0.04281948284609414,0.034391740225143554"
2.4199999999999484,"-2.512426177961131,2.1082426156780403","-0.049037777624239325,-0.11103780634918638","0.06289565123901981,0.09094518755130335","0.003980737865317928,-0.054961569807515355","0.04195839961925296,0.03371814174802167"
2.429999999999948,"-2.5133824987437223,2.106057708172104","-0.047816039129562,-0.10924537529681182","0.061086924733866295,0.08962155261872841","0.003566921903877414,-0.054024057059093036","0.04111756445534361,0.03306007115285364"
2.439999999999948,"-2.5143150846210203,2.1039081252794616","-0.046629293864888996,-0.10747914463211793","0.05933726323365017,0.08831153323469451","0.003172588961427729,-0.053100043123130644","0.04029637173071536,0.03241705027770807"
2.4499999999999478,"-2.5152246126873585,2.1017933484885516","-0.045476403316923646,-0.1057388395455055","0.05764452739826727,0.08701525433062085","0.0027969676721263524,-0.052189507844211155","0.03949423916481947,0.0317886214500092"
2.4599999999999476,"-2.5161117380888967,2.0997128648269334","-0.044356270076908844,-0.10402418308090698","0.056006662000740094,0.08573282322992627","0.002439314597011879,-0.05129241747133374","0.038710606732220446,0.03117434637118289"
2.4699999999999473,"-2.5169770948134698,2.0976661668975995","-0.04326783622865511,-0.10233489646669054","0.054421692412686504,0.08446433071082164","0.0020989133246557853,-0.050408725743963205","0.0379449356432749,0.030573805066472743"
2.479999999999947,"-2.517821296449548,2.0956527529090776","-0.04221008180390784,-0.1006706994261022","0.05288772123736396,0.08320985202941786","0.0017750735920151815,-0.04953837490890704","0.037196707377586284,0.02998659490892909"
2.489999999999947,"-2.518644936915596,2.0936721266996985","-0.04118202330239968,-0.09903131046894449","0.05140292507540787,0.08196944785788501","0.0014671304259449372,-0.04868129667238957","0.036465422755207734,0.029412329696261914"
2.4999999999999467,"-2.5194485911610625,2.091723797756392","-0.04018271227331434,-0.09741644716532315","0.04996555145426715,0.08074316518106711","0.0011744433055144582,-0.0478374130909441","0.03575060106859834,0.028850638786368163"
2.5099999999999465,"-2.5202328158401834,2.0898072812283415","-0.03921123395605332,-0.09582582640252772","0.048573915863050945,0.07953103813977119","0.0008963953455731919,-0.04700663740495173","0.03505177924360353,0.02830116628860202"
2.5199999999999463,"-2.520998149959724,2.0879220979358206","-0.03826670597703186,-0.0942591646260511","0.047226398951072675,0.07833308882383107","0.0006323925013619683,-0.04618887481805627","0.034368511060102795,0.027763570299251666"
2.529999999999946,"-2.5217451155017407,2.086067774374507","-0.03734827710084221,-0.09271617806567778","0.04592144380948282,0.07714932801866624","0.00038186279453447197,-0.0453840232259432","0.03370036639160221,0.027237522187572964"
2.539999999999946,"-2.5224742180223956,2.084243842715557","-0.03645512603273345,-0.09119658294749665","0.04465755340543785,0.07597975590905622","0.00014425556023922278,-0.04459197389731543","0.033046930500417356,0.026722705920309214"
2.5499999999999456,"-2.523185947227807,2.0824498408017074","-0.035586460270572676,-0.08970009569248323","0.04343328810803881,0.0748243627506715","-8.095928464454916e-05,-0.04381261211000929","0.032407803359164856,0.026218817431678074"
2.5599999999999454,"-2.523880777527889,2.080685312139651","-0.03474151500410464,-0.08822643310282925","0.04224726332340149,0.07368312948269831","-0.00029429195237073904,-0.0430458177451005","0.03178259900322097,0.025725564022919815"
2.569999999999945,"-2.5245591685690756,2.078949805888932","-0.03391955205932748,-0.08677531253593318","0.041098147238858095,0.07255602834480371","-0.0004962334744240311,-0.042291465841220933","0.03117094492528951,0.02524266381034953"
2.579999999999945,"-2.5252215657467945,2.0772428768475772","-0.03311985888595049,-0.08534645206775014","0.03998465866884964,0.07144302340915186","-0.0006872563713135638,-0.0415494271118364","0.03057248149325309,0.024769845186957084"
2.589999999999945,"-2.5258684006985246,2.075564085434673","-0.03234174758649557,-0.0839395706452041","0.03890556497274597,0.07034407112730184","-0.0008678153020105183,-0.04081956842755207","0.029986861393306544,0.024306846334103356"
2.5999999999999446,"-2.5265000917782188,2.0739129976700954","-0.03158455398471081,-0.08255438822887733","0.03785968008923813,0.06925912081633892","-0.0010383476936892749,-0.04010175326562689","0.029413749108892374,0.0238534147470344"
2.6099999999999444,"-2.527117044512858,2.0722891851515732","-0.030847636731956854,-0.08119062592611363","0.03684586263769769,0.06818811513818526","-0.0011992743518891048,-0.039395842128669","0.02885282041934884,0.02340930679710455"
2.619999999999944,"-2.527719652041854,2.070692225029267","-0.03013037644980514,-0.0798480061153167","0.035863014107585564,0.06713099053984639","-0.0013510000515641952,-0.03870169293445112","0.028303761923979924,0.022974287313590528"
2.629999999999944,"-2.528308295539997,2.069121699978031","-0.02943217490713655,-0.07852625256179079","0.03491007713342964,0.06608767767629592","-0.001493914109446907,-0.038019161378518775","0.027766270594418982,0.022548129190573776"
