t [s],Q [rad],W [rad/s],A [rad/s^2],P_dot [m/s],P_ddot [m/s^2]
0.10999999999999745,"-0.18814378108077093,1.1944537961791521","-0.1740517281487969,0.35391808531097996","-0.5697090510896657,1.1362060983060274","0.02360014112523444,0.10001235164372718","-0.26170521642092415,-0.2256137608891721"
0.11999999999999723,"-0.19184590199915624,1.2019708464398828","-0.18510604591926638,0.37585251303653866","-0.5527158885234731,1.0967213862779344","0.02438025736065131,0.10701454526937598","-0.25464319117689826,-0.22227933923821044"
0.129999999999997,"-0.19576236967037472,1.209910848931323","-0.19582338356092374,0.3970001245720106","-0.5358668820828693,1.0573805767735969","0.024980465011202616,0.11392675228798317","-0.2475890890792566,-0.21903089063513245"
0.1399999999999968,"-0.19988652199445225,1.2182581747448546","-0.20620761620387643,0.41736629067657577","-0.5192116321476341,1.0183083052282567","0.02539734971324962,0.12074894053679","-0.24055825612965034,-0.21586717693602556"
0.14999999999999658,"-0.20421179254740407,1.2269973479309706","-0.21626352764759038,0.4369586593057937","-0.5027955721856969,0.9796184314608973","0.025628163601478515,0.1274807176551163","-0.2335651604828016,-0.212786969435007"
0.15999999999999637,"-0.208731727045366,1.2361130866390189","-0.22599672489809633,0.4557869354024187","-0.4866598625252971,0.9414138048312523","0.025670798778632962,0.13412136194130544","-0.226623332040788,-0.2097890280102479"
0.16999999999999615,"-0.2134399980886281,1.245590339835552","-0.23541355216310525,0.4738626598266507","-0.47084136325044706,0.903786221211599","0.025523760295272143,0.14066985386989678","-0.21974532083843865,-0.20687208427624557"
0.17999999999999594,"-0.21833041820249413,1.2554143196512693","-0.2445210056933025,0.49119899078587","-0.4553726765098629,0.8668165479609632","0.02518613880326623,0.14712490788178226","-0.2129426727729141,-0.2040348285052167"
0.18999999999999573,"-0.22339695121562708,1.2655705294638606","-0.2533266506566475,0.5078104906295636","-0.44028224816724837,0.83057499218468","0.024657583038354695,0.1534850041051405","-0.20622592101443843,-0.20127590001213747"
0.19999999999999551,"-0.2286337220362563,1.276044787871497","-0.2618385410314592,0.5237129203818257","-0.4255945187405872,0.795121487613109","0.023938272276963893,0.15974841970938994","-0.19960459130414876,-0.19859388064820843"
0.2099999999999953,"-0.23403502490245193,1.2868232487496232","-0.27006514330978293,0.5389230439063033","-0.41133011391618585,0.7605061762238775","0.02302888890138496,0.16591325963727133","-0.19308721927439845,-0.19598729102782347"
0.2199999999999951,"-0.23959533019484558,1.2978924176126203","-0.27801526461968273,0.5534584431498514","-0.3975060654949897,0.7267699621774055","0.021930591195251033,0.17197748650097625","-0.18668137794008435,-0.19345458909302382"
0.22999999999999488,"-0.24530928990899512,1.3092391645226062","-0.2856979857074761,0.5673373454993057","-0.38413605438966797,0.6939451174727129","0.02064498647890539,0.17793894946638092","-0.18039371355768863,-0.19099417063165974"
0.23999999999999466,"-0.25117174189040614,1.3208507338009439","-0.2931225990705518,0.5805784639168742","-0.3712306681537875,0.6620559208784246","0.019174104681675984,0.18379541198467236","-0.1742299881502688,-0.18860437137360717"
0.24999999999999445,"-0.2571777129383985,1.3327147508048665","-0.30029855239961684,0.5932008501961281","-0.35879766645325006,0.6311193139626998","0.017520372435809766,0.18954457826268686","-0.16819512711715184,-0.18628347031590817"
0.25999999999999424,"-0.2633224208859248,1.344819226032942","-0.30723539737631517,0.6052237614037728","-0.3468422488349172,0.601145560382228","0.015686587764918745,0.19518411839215988","-0.16229327049778242,-0.184029693954485"
0.269999999999994,"-0.2696012757614798,1.3571525568197627","-0.31394274377775094,0.6166665393410444","-0.3353673200717871,0.5721388968635849","0.013675895428496879,0.20071169208376946","-0.15652782661666842,-0.18184122113288873"
0.2799999999999938,"-0.2760098801367296,1.3697035268731632","-0.3204302187624906,0.6275485026700215","-0.32437374923698353,0.5440981664488562","0.011491762973568544,0.2061249709743374","-0.15090152699238896,-0.1797161882526966"
0.2899999999999936,"-0.28254402875977125,1.382461303897205","-0.3267074311520817,0.6378888512020853","-0.31386061947955246,0.5170174266031854","0.0091379575347738,0.2114216594952291","-0.14541648156297615,-0.17765269462549485"
0.2999999999999934,"-0.289199707569293,1.3954154355318649","-0.3327839404760862,0.647706581733005","-0.30382546620022816,0.49088652654598863","0.006618523415427387,0.216599514306697","-0.14007423342238945,-0.1756488077797946"
0.30999999999999317,"-0.2959730921796076,1.408555843826446","-0.33866923051573045,0.6570204147290589","-0.2942645019822124,0.4656916498026968","0.0039377604740218385,0.2216563623172331","-0.13487581242078384,-0.17370256856522387"
0.31999999999999296,"-0.3028605459207986,1.421872818448754","-0.34437268705955043,0.6658487311153853","-0.2851728271909996,0.44141581931632085","0.0011002033336435307,0.22659011731878448","-0.12982178710165324,-0.17181199592825402"
0.32999999999999274,"-0.30985861751224775,1.4353570088165186","-0.34990357957245743,0.6742095183882347","-0.2765446256453501,0.4180393636424663","-0.001889398574342527,0.23139879527844537","-0.12491231457169878,-0.1699750912632797"
0.33999999999999253,"-0.31696403844175697,1.4489994153217836","-0.35527104647546176,0.6821203252632541","-0.2683733451502155,0.39554034375096503","-0.00502610012663186,0.23608052833511603","-0.1201471880168203,-0.16818984225288966"
0.3499999999999923,"-0.32417372011647366,1.4627913798033259","-0.36048408373583485,0.6895982240771079","-0.2606518630186544,0.37389494069269286","-0.008304778782972292,0.2406335775556728","-0.11552588164849163,-0.16645422614790104"
0.3599999999999921,"-0.33148475084597734,1.4767245754068974","-0.36555153647518307,0.6966597801785769","-0.2533726369674093,0.35307780507345216","-0.011720152022501922,0.24505634450996472","-0.11104759296528012,-0.1647662124428076"
0.3699999999999919,"-0.3388943927122665,1.4907909959583572","-0.37048209331445936,0.7033210275729922","-0.24652784196381505,0.33306236972076536","-0.015266793947384148,0.24934738172727347","-0.10671128226980583,-0.16312376491664715"
0.3799999999999917,"-0.34640007837606024,1.50498294496073","-0.37528428318968526,0.7095974501186371","-0.24010949376129523,0.3138211272822436","-0.018939151062195167,0.25350540209915756","-0.10251570943525955,-0.1615248430275434"
0.38999999999999146,"-0.353999407863838,1.5192930243130052","-0.37996647438888664,0.7155039676137667","-0.2341095599600709,0.29532587475648175","-0.022731557239708503,0.2575292872949874","-0.0984594679685057,-0.15996740265004353"
0.39999999999999125,"-0.36169014537541383,1.5337141228361224","-0.3845368755787922,0.7210549261558544","-0.2285200594952769,0.27754792710438675","-0.026638247885402453,0.2614180952570246","-0.09454101645102618,-0.15844939614946918"
